Date,Country,Value
3/1/2013,Euro,0.772
4/1/2013,Euro,0.7678
5/1/2013,Euro,0.7702
6/1/2013,Euro,0.7577
7/1/2013,Euro,0.7641
8/1/2013,Euro,0.7511
9/1/2013,Euro,0.7483
10/1/2013,Euro,0.7328
11/1/2013,Euro,0.7412
12/1/2013,Euro,0.7295
1/1/2014,Euro,0.7343
2/1/2014,Euro,0.7318
3/1/2014,Euro,0.7232
4/1/2014,Euro,0.7241
5/1/2014,Euro,0.7279
6/1/2014,Euro,0.7356
7/1/2014,Euro,0.7389
8/1/2014,Euro,0.751
9/1/2014,Euro,0.7759
10/1/2014,Euro,0.7888
11/1/2014,Euro,0.8017
12/1/2014,Euro,0.8111
1/1/2015,Euro,0.861
2/1/2015,Euro,0.8811
3/1/2015,Euro,0.9243
4/1/2015,Euro,0.924
5/1/2015,Euro,0.8955
6/1/2015,Euro,0.8908
7/1/2015,Euro,0.9093
8/1/2015,Euro,0.898
9/1/2015,Euro,0.8906
10/1/2015,Euro,0.8906
11/1/2015,Euro,0.9322
12/1/2015,Euro,0.9184
1/1/2016,Euro,0.9212
2/1/2016,Euro,0.9016
3/1/2016,Euro,0.8981
4/1/2016,Euro,0.8814
5/1/2016,Euro,0.884
6/1/2016,Euro,0.8903
7/1/2016,Euro,0.9046
8/1/2016,Euro,0.8923
9/1/2016,Euro,0.8914
10/1/2016,Euro,0.9079
11/1/2016,Euro,0.9266
12/1/2016,Euro,0.9483
1/1/2017,Euro,0.9403
2/1/2017,Euro,0.939
3/1/2017,Euro,0.9354
4/1/2017,Euro,0.9334
5/1/2017,Euro,0.905
6/1/2017,Euro,0.8902
7/1/2017,Euro,0.8673
8/1/2017,Euro,0.8465
9/1/2017,Euro,0.8394
10/1/2017,Euro,0.8507
11/1/2017,Euro,0.8516
12/1/2017,Euro,0.8396
1/1/2000,United Kingdom,0.6096
2/1/2000,United Kingdom,0.625
3/1/2000,United Kingdom,0.633
4/1/2000,United Kingdom,0.632
5/1/2000,United Kingdom,0.6627
6/1/2000,United Kingdom,0.6626
7/1/2000,United Kingdom,0.6633
8/1/2000,United Kingdom,0.6716
9/1/2000,United Kingdom,0.6975
10/1/2000,United Kingdom,0.6894
11/1/2000,United Kingdom,0.7014
12/1/2000,United Kingdom,0.6836
1/1/2001,United Kingdom,0.6768
2/1/2001,United Kingdom,0.6885
3/1/2001,United Kingdom,0.6923
4/1/2001,United Kingdom,0.697
5/1/2001,United Kingdom,0.701
6/1/2001,United Kingdom,0.7133
7/1/2001,United Kingdom,0.7068
8/1/2001,United Kingdom,0.6958
9/1/2001,United Kingdom,0.6832
10/1/2001,United Kingdom,0.6896
11/1/2001,United Kingdom,0.6966
12/1/2001,United Kingdom,0.6938
1/1/2002,United Kingdom,0.6982
2/1/2002,United Kingdom,0.7029
3/1/2002,United Kingdom,0.7027
4/1/2002,United Kingdom,0.693
5/1/2002,United Kingdom,0.685
6/1/2002,United Kingdom,0.674
